"Road traffic fatal crashes and fatalities, Queensland, 1986–2014p",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Fatal crashes (a),Fatalities (b),,,,,,,,,,,,,
,— number —,,,,,,,,,,,,,,
1986,421,481,,,,,,,,,,,,,
1987,400,442,,,,,,,,,,,,,
1988,483,539,,,,,,,,,,,,,
1989,376,428,,,,,,,,,,,,,
1990,347,399,,,,,,,,,,,,,
1991,359,395,,,,,,,,,,,,,
1992,363,416,,,,,,,,,,,,,
1993,357,396,,,,,,,,,,,,,
1994,368,422,,,,,,,,,,,,,
1995,408,456,,,,,,,,,,,,,
1996,338,385,,,,,,,,,,,,,
1997,321,360,,,,,,,,,,,,,
1998,257,279,,,,,,,,,,,,,
1999,273,314,,,,,,,,,,,,,
2000,275,317,,,,,,,,,,,,,
2001,296,324,,,,,,,,,,,,,
2002,283,322,,,,,,,,,,,,,
2003,284,310,,,,,,,,,,,,,
2004,289,311,,,,,,,,,,,,,
2005,296,330,,,,,,,,,,,,,
2006,313,335,,,,,,,,,,,,,
2007,338,360,,,,,,,,,,,,,
2008,294,328,,,,,,,,,,,,,
2009,296,331,,,,,,,,,,,,,
2010,236,249,,,,,,,,,,,,,
2011,227,269,,,,,,,,,,,,,
2012,255,280,,,,,,,,,,,,,
2013,246,271,,,,,,,,,,,,,
2014p,199,223,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
p = preliminary,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
(a) A road traffic crash is a crash that occured on a public road.,,,,,,,,,,,,,,,
(b) Killed instantly or died within 30 days of receiving injuries.,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Source:  Department of Transport and Main Roads,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
